id	title	startYear	genres	principals
tt0086154	Psycho II	1983	Crime,Horror,Mystery	nm0000578,nm0587256,nm0000672,nm0005162,nm0002207
tt0086197	The Right Stuff	1983	Adventure,Biography,Drama	nm0001731,nm0001277,nm0000438,nm0000598,nm0442241
tt0086200	Risky Business	1983	Comedy,Crime,Drama	nm0000129,nm0000360,nm0001592,nm0557956,nm0001887
tt0086216	Rumble Fish	1983	Crime,Drama,Romance	nm0000369,nm0000620,nm0000178,nm0000454,nm0000338
tt0086250	Scarface	1983	Crime,Drama	nm0000199,nm0000201,nm0000874,nm0001512,nm0000361
tt0086312	Silkwood	1983	Biography,Drama,History	nm0000658,nm0000621,nm0000333,nm0005266,nm0001566
tt0086320	Sleepaway Camp	1983	Horror	nm0741378,nm0862962,nm0276290,nm0171754,nm0385349
tt0086361	Staying Alive	1983	Drama,Music,Romance	nm0000237,nm0722407,nm0001370,nm0409481,nm0000230
tt0086373	Strange Brew	1983	Comedy,Crime,Sci-Fi	nm0001548,nm0858686,nm0001884,nm0233209
tt0086383	Sudden Impact	1983	Action,Crime,Thriller	nm0000142,nm0516800,nm0385757,nm0226947
tt0086393	Superman III	1983	Action,Adventure,Comedy	nm0001659,nm0001640,nm0452288,nm0178114,nm0504513
tt0086423	Tender Mercies	1983	Drama,Music	nm0000380,nm0002128,nm0000990,nm0000979,nm0000915
tt0086425	Terms of Endearment	1983	Comedy,Drama	nm0000511,nm0000700,nm0000197,nm0000362,nm0000985
tt0086450	To Be or Not to Be	1983	Comedy,Drama,War	nm0000316,nm0000843,nm0334283,nm0717995,nm0424466
tt0086465	Trading Places	1983	Comedy	nm0000552,nm0000101,nm0000897,nm0000747,nm0000484
tt0086491	Twilight Zone: The Movie	1983	Horror,Sci-Fi	nm0000101,nm0000983,nm0607558,nm0569789,nm0001102,nm0000484,nm0004306,nm0000229
tt0086525	Valley Girl	1983	Comedy,Romance	nm0000115,nm0286033,nm0197354,nm0100889,nm0004838
tt0086541	Videodrome	1983	Horror,Sci-Fi,Thriller	nm0000249,nm0001323,nm0810500,nm0245356,nm0000343
tt0086567	WarGames	1983	Action,Drama,Sci-Fi	nm0000111,nm0000639,nm0939795,nm0001056,nm0000824
tt0086617	The Year of Living Dangerously	1982	Drama,Romance,War	nm0000154,nm0000244,nm0001373,nm0734368,nm0001837
tt0086619	Yentl	1983	Drama,Musical,Romance	nm0000659,nm0001388,nm0001597,nm0675490
tt0086837	2010: The Year We Make Contact	1984	Adventure,Mystery,Sci-Fi	nm0001702,nm0001475,nm0000545,nm0000837,nm0001382
tt0086856	The Adventures of Buckaroo Banzai Across the 8th Dimension	1984	Adventure,Comedy,Sci-Fi	nm0000693,nm0001475,nm0000289,nm0000156,nm0725379
tt0086859	Against All Odds	1984	Action,Adventure,Crime	nm0001829,nm0000313,nm0000249,nm0440090,nm0000431
tt0086873	All of Me	1984	Comedy,Fantasy,Romance	nm0000188,nm0005499,nm0005481,nm0001750,nm0005348
tt0086927	Bachelor Party	1984	Comedy	nm0000158,nm0000478,nm0957460,nm0342732,nm0411477
tt0086960	Beverly Hills Cop	1984	Action,Comedy,Crime	nm0000552,nm0001662,nm0039226,nm0002060,nm0000976
tt0086969	Birdy	1984	Drama,War	nm0000546,nm0000115,nm0363157,nm0056310,nm0000570
tt0086973	Blame It on Rio	1984	Comedy,Romance	nm0000323,nm0001400,nm0000193,nm0004767,nm0002045
tt0086979	Blood Simple	1984	Crime,Drama,Thriller	nm0315288,nm0000531,nm0000445,nm0001826,nm0001054,nm0001053
tt0086984	Body Double	1984	Crime,Drama,Mystery	nm0913738,nm0000429,nm0001344,nm0001730,nm0000361
tt0086993	The Bounty	1984	Adventure,Drama,History	nm0000154,nm0000164,nm0000059,nm0002081,nm0002044
